2100,220022012202220322042205220622082209220A,raw,220022012202220322042205220622082209220A,Gauging group data list
2384,Request out of range,cmd answer,7F2231,Distribution type: rear
2385,Request out of range,cmd answer,7F2231,"The presence of the ""Stop and Start"" engine or hybrid power unit"
2386,Request out of range,cmd answer,7F2231,Using the heat of the exhaust gases to heating the interior
2387,02,hex,02,Type of air conditioning
2388,01,hex,01,The presence of a heater or air conditioner with a non-working engine
2389,85,int,85,Information about the inclusion of air conditioning compressor
238A,Request out of range,cmd answer,7F2231,The presence of a coolant pump with a drive clutch
238B,01,bool,01,The presence of an algorithm for combustion of the fuel mixture with a cold engine to accelerate the heating of the car interior
238C,00,hex,00,The presence and type of preliminary thermal training
238D,00,bool,00,Athermic windshield
238E,Request out of range,cmd answer,7F2231,Option: Natural gas (GNV)
238F,00,hex,00,"Configuration ""Police""?"
2390,Request out of range,cmd answer,7F2231,The presence of a handle with the switching button for the automatic wiper mode
2391,Request out of range,cmd answer,7F2231,Availability of rear multimedia equipment
2392,01,hex,01,Availability and type of multiplex control panel
2394,00,hex,00,Type of radio receiver
2395,20,hex,20,Type of telematics block
2396,Request out of range,cmd answer,7F2231,Option: multiplex anti-lock system (ABS)
2399,00,bool,00,Electrically adjustable exterior mirrors with position memory
239A,Request out of range,cmd answer,7F2231,The presence of a clock
239B,01,bool,01,Option: on-board computer (ODB)
239C,00,bool,00,Option: Black Panel mode
239D,00,hex,00,The presence and type of heating resistances
239E,00,hex,00,The presence and type of air heater
239F,Request out of range,cmd answer,7F2231,The presence and type of adjustment of the brightness of the interior backlight
23A0,00,hex,00,The presence and number of hatches
23A1,Request out of range,cmd answer,7F2231,engine's type
23A2,00,hex,00,"Thermal comfort for the ""Stop and Start"" system"
23A3,00,hex,00,The presence and type of parking brake with electrical control
23A4,Request out of range,cmd answer,7F2231,The presence of a trunk door with an electric drive
23A5,Request out of range,cmd answer,7F2231,Selecting vehicle speed limit or cruise control
23A6,01,hex,01,Type of electoral opening of the rear door using a high-frequency remote control
23A7,Request out of range,cmd answer,7F2231,The presence of a curtain with an electric drive
23A8,Request out of range,cmd answer,7F2231,Rear seats with electric drive
23A9,00,hex,00,The presence and type of the children's safety system switch
23AA,Request out of range,cmd answer,7F2231,The presence of a 230V socket
23AB,00,bool,00,Sound signal supplied by a steering wheel switch of type 2008
23AC,Request out of range,cmd answer,7F2231,Power type of anti-lock braking system (ABS) or dynamic stabilization system (ESP)
23AD,Request out of range,cmd answer,7F2231,The type of equipment connected to the relay of the electro-focus of the intelligent switching unit (BSI)
23AE,01,bool,01,The presence of an additional head lighting function (Intersection)
23AF,Request out of range,cmd answer,7F2231,Type of control of front fog lights
23B0,Request out of range,cmd answer,7F2231,The presence of a function of headlights in the personal settings menu
23B1,01,hex,01,Accounting for Stop and Start function of air conditioning
23B2,01,bool,01,Air supply module in the motor compartment controlled by an intelligent switching unit (BSI)
23B3,Request out of range,cmd answer,7F2231,The presence of a parking brake menu with an electrical control in the personal settings menu
23B4,00,bool,00,Having a sound selection menu
23B5,00,bool,00,The presence of a sun-roof without a curtain with an electric drive
23B6,00,bool,00,the presence of an ultrasound module included in the LIN network of an intellectual switching unit
23B7,00,bool,00,The presence of a security alarm siren associated with the BSI LIN network
23B8,Request out of range,cmd answer,7F2231,The presence of a block for re-equipment (auto-school and management for disabled people)
23B9,Request out of range,cmd answer,7F2231,The presence of a warning function about the risk of a collision
23BA,Request out of range,cmd answer,7F2231,The presence of a rotation angle sensor of the steering wheel multiplex
23BB,02,hex,02,"Availability and type of function ""Stop and Start"""
23BC,Request out of range,cmd answer,7F2231,The availability of a system for compliance with a safe distance
23BD,Request out of range,cmd answer,7F2231,The presence of intellectual cruise control
23BE,Request out of range,cmd answer,7F2231,Type of control of the front dimensions
23BF,00,hex,00,Daytime running light control type
23C0,00,bool,00,The presence of a programmable speed value (Touch display)
23C1,Request out of range,cmd answer,7F2231,Type of control of front wiper
23C2,00,bool,00,The presence of the front wiper in the LIN network
23C3,Request out of range,cmd answer,7F2231,The presence of a reversing inertial seat belt coil
23C4,Request out of range,cmd answer,7F2231,The presence of an option for automatic braking in the event of a risk of collision
23C5,Request out of range,cmd answer,7F2231,Type of interior lighting
23C6,Request out of range,cmd answer,7F2231,Turning on daylight headlights on the steering wheel switch
23C7,01,bool,01,The presence of daylight headlights on LEDs for the mode of showroom
23C8,02,hex,02,Obtaining a requirement of re-initialization of a system for detecting pressure in tires (from ABS/ESP)
23C9,Request out of range,cmd answer,7F2231,Stopping of diagnostics of the front dimensions of the car
23CA,Request out of range,cmd answer,7F2231,Stopping of diagnostics of the vehicle daylight of the car
23CB,Request out of range,cmd answer,7F2231,Electricity management resolution Stop and Start options
23CC,00,hex,00,Type of coding of information of front door locks and trunk lid or tailgate
23CD,01,bool,01,Activation of the disconnect algorithm of the injection fan
23CE,00,bool,00,"A car with a gas system (GNV, GPL)"
23CF,Request out of range,cmd answer,7F2231,The presence of air conditioner control panel via wired connection
23D0,00,bool,00,The presence of a decrease in the release of nitrogen oxides
23D1,00,bool,00,The presence of a security alarm with a vehicle lift-up protection function
23D2,00,bool,00,The presence of heated front windshield washer jets
23D3,00,hex,00,Features of the cooling circuit
23D4,Request out of range,cmd answer,7F2231,Type of disconnecting the driver of the rear windows (controlled by an intelligent switching unit)
23D5,05,hex,05,The function of the left button of the steering wheel switching module
23D6,Request out of range,cmd answer,7F2231,External mirrors with the position for movement in the rear
23D7,Request out of range,cmd answer,7F2231,Option: Configuration of economical windshield washing (limited washing time and number of strokes)
23D8,00,bool,00,The presence of an electric vacuum pump
23D9,Request out of range,cmd answer,7F2231,The presence of a solution optimization module
23DA,Request out of range,cmd answer,7F2231,The presence of dynamic driving function
23DB,00,bool,00,"Option: ""Taxi"""
23DC,00,hex,00,ESP certification type
23DD,Request out of range,cmd answer,7F2231,Adjustment of the brightness of the interior backlight from the instrument panel
23DE,Request out of range,cmd answer,7F2231,Type of vibrators of the warning function of unintentional intersection of road marking lines
23DF,Request out of range,cmd answer,7F2231,The presence of radiator cladding
23E0,Request out of range,cmd answer,7F2231,Option: Inclusion of light when unlocking a car
23E1,Request out of range,cmd answer,7F2231,The rear window washer option is located opposite the rear wiper brush
23E2,00,bool,00,The presence of windshield heating
23E5,04,hex,04,Control type of controlled generator
23E6,01,bool,01,The presence of a low pressure fuel pump
23E7,Request out of range,cmd answer,7F2231,Option: To disable traction control function
23E8,00,hex,00,The presence of front and rear seats with heating
23EA,01,bool,01,Option: Automatic lighting on
23EB,Request out of range,cmd answer,7F2231,Type of automatic inclusion of lighting
23EC,01,hex,01,Type of information from the switch of assistance in parking
23ED,Request out of range,cmd answer,7F2231,The type of information from the STOP and Start switch
23EE,00,hex,00,Dynamic driving function
23F1,Request out of range,cmd answer,7F2231,Generator class type
23F2,Request out of range,cmd answer,7F2231,The state of initialization of the warning function in the risk of collision
23F3,Request out of range,cmd answer,7F2231,The state of initialization of the sensitivity of the warning function in the risk of a collision
23F4,Request out of range,cmd answer,7F2231,The state of initialization of the automatic braking function at the risk of collision
23F5,Request out of range,cmd answer,7F2231,Using the rear fog lights for the function of the stop signal
23F6,01,bool,01,The presence of a sound alarm exceeding the established speed limit
23F7,Request out of range,cmd answer,7F2231,Stopping of diagnostics of the rear dimensions of the car
23F8,Request out of range,cmd answer,7F2231,Option: Protection from the rise of the car is controlled by an ultrasound module
23F9,05,hex,05,Type of gearbox moment
23FA,Request out of range,cmd answer,7F2231,"Option: Sound alarm of the position of the lever of the automated gearbox, depending on the state of fastening the driver's seat belt"
23FB,Request out of range,cmd answer,7F2231,The presence of an automatic gearbox with a computer of an electric drive
23FC,00,bool,00,The presence of anti-slip mode switch (ASR)
23FD,03,hex,03,Automatic braking type at risk of collision (FARC)
23FE,02,hex,02,"Type of obtaining information ""Man-Machine"" air conditioning"
23FF,Request out of range,cmd answer,7F2231,Simultaneous inclusion of daylight and overall lanterns
2402,Request out of range,cmd answer,7F2231,Permission of the discharge of electricity stored in the energy battery in the rear window heating network
2403,Request out of range,cmd answer,7F2231,Clothing switching unit
2404,Request out of range,cmd answer,7F2231,The presence of stop-signals on the rear bumper
2405,Request out of range,cmd answer,7F2231,Type of power steering
2406,Request out of range,cmd answer,7F2231,Type of control of front indicators
2407,Request out of range,cmd answer,7F2231,Front turn signal control type
2408,Request out of range,cmd answer,7F2231,The presence of a warning system about unintentional intersection of road marking lines
2409,00,hex,00,The presence of diagnostics for LED low beam headlights
240A,Request out of range,cmd answer,7F2231,Diagnostics disconnection
240B,Request out of range,cmd answer,7F2231,Diagnosis of additional static head lighting
240C,Request out of range,cmd answer,7F2231,Type of system of additional static head lighting
240D,01,bool,01,The presence of additional static head lighting (PLV)
240E,01,hex,01,Computer controlling perimeter security alarm
240F,00,hex,00,Telematics options
2410,Request out of range,cmd answer,7F2231,The presence and type of gear shift control on the steering wheel
2411,Request out of range,cmd answer,7F2231,The width of the side door
2412,Request out of range,cmd answer,7F2231,The presence and type of rear door
2413,Request out of range,cmd answer,7F2231,The presence of a switching unit for the re-equipment of the body
2414,03,hex,03,The presence and type of determination of the driver's attentiveness
2415,01,hex,01,The presence and type of perception of traffic signaling
2416,Request out of range,cmd answer,7F2231,The presence and type of the right rear side door
2417,Request out of range,cmd answer,7F2231,The presence and type of left rear side door
2418,01,hex,01,Type of front side lights
2419,Request out of range,cmd answer,7F2231,Type of anterior rotation indicators
241A,Request out of range,cmd answer,7F2231,The presence of a switch between a simple cruise control system and an adaptive cruise control system
241B,Request out of range,cmd answer,7F2231,The presence of the front electric windows
241C,Request out of range,cmd answer,7F2231,The presence of a rear window cleaner
241D,Request out of range,cmd answer,7F2231,Option: Opening rear window
241E,Request out of range,cmd answer,7F2231,Electric ignition lock
241F,Request out of range,cmd answer,7F2231,"Option: ""Hands-free access"" for the right rear side door"
2420,Request out of range,cmd answer,7F2231,"Option: ""Hands-free access"" for the left rear side door"
2421,Request out of range,cmd answer,7F2231,"Option: ""Hands-free access"" for the back door"
2422,Request out of range,cmd answer,7F2231,Type of air duct heating the air conditioning system
2423,Request out of range,cmd answer,7F2231,Type of message Prevention function of crossing road marking lines
2424,00,hex,00,Type of upholstery seats
2425,01,bool,01,The availability of telematics receiver control
2426,Request out of range,cmd answer,7F2231,Type of control of rotation indicators with a smooth increase in brightness
2427,00,bool,00,The presence of a control system for descent
2428,Request out of range,cmd answer,7F2231,Type of button on windshield heating
2429,Request out of range,cmd answer,7F2231,Type of controlled air intake module
242A,02,hex,02,Type of warning in the risk of collision
242B,Request out of range,cmd answer,7F2231,Type of information encoding from the locks of the rear swing doors
242C,Request out of range,cmd answer,7F2231,"The number of the calibration table antennas of the access function ""Free Hands"""
242D,Request out of range,cmd answer,7F2231,Automatic blocking access to the cargo area when moving
242E,Request out of range,cmd answer,7F2231,The presence of a help function in holding a car in the movement lane
242F,Request out of range,cmd answer,7F2231,Lane Keeping Assist linked to Blind Spot Monitoring
2430,Request out of range,cmd answer,7F2231,gradual shutdown of rotation indicators (while maintaining the blinking mode)
2431,02,hex,02,Automatic gearbox type
2432,00,hex,00,The presence of heated seats or heated ventilated seats
2433,Request out of range,cmd answer,7F2231,Selecting the modes of operation of a hybrid drive
2434,Request out of range,cmd answer,7F2231,Option: Comfortable polysensory package CFG_EBK_BSI_OPT_MODE_DYN_COMFORT_000
2435,Request out of range,cmd answer,7F2231,Option: Polisor Package CFG_EBL_BSI_POLSENSORIAL_PACK_000
2436,Request out of range,cmd answer,7F2231,Navigation option to provide radar points of interest with appropriate speed restrictions
2437,00,bool,00,Option: Wireless charger
2438,Request out of range,cmd answer,7F2231,Type of trunk opening switch or baggage compartment door
2446,Request out of range,cmd answer,7F2231,Additional rear overall lantern
2447,Request out of range,cmd answer,7F2231,Detection of the presence of a spare wheel
2448,Request out of range,cmd answer,7F2231,Steering wheel with heating
2449,Request out of range,cmd answer,7F2231,Multifunctional video registrar camera
244B,Request out of range,cmd answer,7F2231,The presence and duration of the withdrawal of the division of speed exceeding
244C,01,hex,01,The presence and type of assistance in holding the car within the lane
244D,01,bool,01,Additional head lighting functions: Cornering lights (AFS)
2452,00,hex,00,Type of mode for ACC
2453,03,hex,03,Type technologie detection for ACC
245A,Request out of range,cmd answer,7F2231,"Turning on the power steering computer power relay, made by the BSI unit"
245B,Request out of range,cmd answer,7F2231,Car with power saving for power windows
245C,00,bool,00,Block for maintaining the voltage of the on-board network
2461,Request out of range,cmd answer,7F2231,Front seats with massage function
2465,Request out of range,cmd answer,7F2231,Cooling liquid heater type
2466,Request out of range,cmd answer,7F2231,Rear-view mirrors
2480,Request out of range,cmd answer,7F2231,The presence of the interior lighting function in the personal settings menu
2481,01,bool,01,Improved operation of the high beam switching function (Matrix Beam)
2482,Request out of range,cmd answer,7F2231,LED/signaler indicates alarm activation status
2483,Request out of range,cmd answer,7F2231,Type of orange warning light to indicate a faulty brake booster
2484,00,hex,00,The presence and type of emergency call
2486,01,hex,01,Type of overall tail lights
2487,00,hex,00,Type of lamp switch
248A,01,hex,01,Type of dashboard
248B,Request out of range,cmd answer,7F2231,The presence of a matrix display
248D,Request out of range,cmd answer,7F2231,Headlight beam height corrector
248F,Request out of range,cmd answer,7F2231,"Management ""day/night"""
2490,Request out of range,cmd answer,7F2231,The presence of a LED to disable the state of work in ZEV mode
2493,Request out of range,cmd answer,7F2231,Turning on the security alarm when blocking locks using a mechanical key
2494,Request out of range,cmd answer,7F2231,The presence of the rear traction electric machine
2495,Request out of range,cmd answer,7F2231,Type of activation of the ASR+ Antibux system+
2498,Request out of range,cmd answer,7F2231,The function of the heat pump
2499,00,hex,00,Mode of operation of the vehicle's steering and damping
249D,Request out of range,cmd answer,7F2231,Type of acceptance of information from the contactor of the semi-automatic system of assistance in parking
F080,9809154880001398307076800233FFFF0001FFFFFFFF,raw,9809154880001398307076800233FFFF0001FFFFFFFF,ZA Zone
F0FE,0000000013B309031450060A550D03140002000001942880,raw,0000000013B309031450060A550D03140002000001942880,ZI Zone
F18B,090314,string_date,090314,Production Date
F18C,29400895,string_ascii,29400895,Serial Number
F190,56584B5550484E4B4B4C34323431383933,string_ascii,56584B5550484E4B4B4C34323431383933,VIN
D501,00,bool,00,CFG_BR1_BSI_UCECAN_UDS_BML_000_AABSENT: BOLK Free Hands
D502,01,bool,01,CFG_BR2_BSI_UCECAN_UDS_HDC_000_ABSENT: steering wheel switch
D503,01,bool,01,CFG_BR3_BSI_UCECAN_UDS_RBG_000_ABSENT: airbags
D504,00,bool,00,CFG_BR4_BSI_UCECAN_UDS_LCE_000: reader electronic key
D505,00,bool,00,CFG_BR5_BSI_UCECAN_UDS_BRHF_000: high-frequency receiver
D506,00,bool,00,CFG_AMJ_BSI_UCE_CAN_BSM_000: engine switching unit
D507,00,bool,00,CFG_BR7_BSI_UCECAN_UDS_BDCP_000: pedestrian detection unit
D508,01,bool,01,CFG_BR8_BSI_UCECAN_UDS_PDPC_EDPC_000: Driver door control panel
D509,00,bool,00,CFG_BR9_BSI_UCECAN_UDS_AVE_000: Ignition electric lock
D50A,01,bool,01,CFG_BRA_BSI_UCECAN_UDS_BSI_000: Intellectual switching unit (BSI)
D50B,00,bool,00,CFG_BRB_BSI_UCECAN_PLC_000: motorized sliding side door
D50C,00,bool,00,CFG_BRC_BSI_UCECAN_UDS_BDMA_000: storage cover on the rear seats
D50D,00,bool,00,CFG_BRD_BSI_UCECAN_UDS_AUS_000: security alarm
D50E,01,bool,01,CFG_BRE_BSI_UCECAN_UDS_AAS_000: Parking Assistance System
D50F,00,bool,00,CFG_BRF_BSI_UCECAN_UDS_MAE_000: training car module
D510,01,bool,01,CFG_BRG_BSI_UCECAN_UDS_CMB_000: instrument panel
D511,00,bool,00,CFG_BRH_BSI_UCECAN_UDS_RADIO_000: radio receiver
D512,00,bool,00,CFG_AN4_BSI_UCE_CAN_STL_000: warning system about an unintentional intersection of the road marking line (with infrared sensors)
D513,01,bool,01,CFG_BRJ_BSI_UCECAN_UDS_BTEL_000: telematics block or radio navigation
D514,00,bool,00,CFG_BRK_BSI_UCECAN_UDS_EMF_000: display
D515,00,bool,00,CFG_BRL_BSI_UCECAN_UDS_TE_000: folding roof ???
D516,00,bool,00,CFG_BRM_BSI_UCECAN_UDS_CATVM_BCM_000: CHARTAL ELECTRICA
D517,00,bool,00,CFG_BRN_BSI_UCECAN_UDS_BSGRQ_000: trailer switch
D518,01,bool,01,CFG_BRO_BSI_UCECAN_UDS_CLIM_000: air conditioning
D519,00,bool,00,CFG_ANE_BSI_UCE_CAN_MEMO_S_COND_000: driver's seat position
D51A,00,bool,00,CFG_BRQ_BSI_UCECAN_UDS_BDMPASS_000: BOLSTIER de mémorisation du siège passager ???
D51B,00,bool,00,CFG_BRR_BSI_UCECAN_UDS_VTH_000: Head-up vision ???
D51C,00,bool,00,CFG_BRS_BSI_UCECAN_UDS_CDC_000: CD-changer
D51D,00,bool,00,CFG_BRT_BSI_UCECAN_UDS_MATT_000: matrix display
D51E,00,bool,00,CFG_BSR_BSI_UCECAN_UDS_KML_NOMAD_000: KIT MAINS LIBRES / BOLLY NOMADE ???
D51F,00,bool,00,CFG_BRV_BSI_UCECAN_UDS_DEF_000: deflector / spoiler
D520,01,bool,01,CFG_BRW_BSI_UCECAN_UDS_FACADEMUX_000: multifunctional front panel on the Can
D521,00,bool,00,CFG_BRX_BSI_UCECAN_MDS_000: Autonomous telecommunication unit
D522,00,bool,00,CFG_Bry_BSI_UCECAN_UDS_AMPLI_000: audio system amplifier
D523,00,bool,00,CFG_BRZ_BSI_UCECAN_UDS_AR2S_000_NEW: starter control unit or hybrid traction chain
D524,01,bool,01,CFG_BS0_BSI_UCECAN_UDS_CAV_000: Turning steering angle sensor multiplex
D525,00,bool,00,CFG_BS1_BSI_UCECAN_UDS_CTH_PTMU_000: control unit of a hybrid traction chain
D526,01,bool,01,CFG_BS2_BSI_UCECAN_UDS_CMM_000: engine computer
D527,00,bool,00,CFG_BS3_BSI_UCECAN_UDS_BV_000: automatic gearbox or automated manual gearbox
D528,01,bool,01,CFG_BS4_BSI_UCECAN_UDS_UC_FREIN_000: anti-lock system (ABS) / Dynamic stabilization system (ESP)
D529,00,bool,00,CFG_BS5_BSI_UCECAN_UDS_DSG_000: tire pressure control computer
D52A,00,bool,00,CFG_BS6_BSI_UCECAN_UDS_CSS_000: suspension control unit (CSS)
D52B,00,bool,00,CFG_BS7_BSI_UCECAN_UDS_BHI_000: BOX HYDRAULILICE Intelligent (BHI) ???
